id,date,home_team,away_team,total_h2h,matches_over,hit_rate,target,play,bet_amount,divider,Last 5,Last 10,Last 15,Last 20,Index,home_wins,away_wins,four_more,four_more_%
4940967,2024-11-27 05:25AM,Poliniewicz G.,Gluszek W.,20,12 / 20,60.00%,74.5,UNDER,0.75u,#######,3 / 5,7 / 10,8 / 15,12 / 20,59.50%,5,15,15 / 20,75.00%
4940969,2024-11-27 05:30AM,Jadach O.,Schaniel K.,20,13 / 20,65.00%,74.5,UNDER,0.75u,#######,3 / 5,8 / 10,10 / 15,13 / 20,67.25%,11,9,18 / 20,90.00%
4940983,2024-11-27 05:55AM,Pruszkowski J.,Gumulinski P.,20,14 / 20,70.00%,74.5,OVER,1u,#######,4 / 5,7 / 10,11 / 15,14 / 20,72.00%,8,12,15 / 20,75.00%
4941033,2024-11-27 06:20AM,Iwasyszyn W.,Schaniel K.,19,11 / 19,57.89%,74.5,UNDER,0.75u,#######,4 / 5,8 / 10,10 / 15,11 / 20,64.75%,12,7,12 / 19,63.16%
4941065,2024-11-27 06:40AM,Minda M.,Radlo S.,19,15 / 19,78.95%,74.5,OVER,1u,#######,5 / 5,8 / 10,11 / 15,15 / 20,77.75%,7,12,14 / 19,73.68%
4940697,2024-11-27 08:00AM,Kosowski J.,Jadczyk M.,20,3 / 20,15.00%,74.5,UNDER,0.75u,#######,0 / 5,1 / 10,1 / 15,3 / 20,10.25%,10,10,7 / 20,35.00%
4939049,2024-11-27 09:35AM,Felkel G.,Wiecek A.,20,6 / 20,30.00%,74.5,UNDER,0.75u,#######,1 / 5,1 / 10,4 / 15,6 / 20,25.00%,13,7,7 / 20,35.00%
4940715,2024-11-27 11:25AM,Daniel A.,Murawski M.,19,9 / 19,47.37%,74.5,UNDER,0.75u,#######,4 / 5,7 / 10,9 / 15,9 / 20,56.75%,10,9,10 / 19,52.63%
4940531,2024-11-27 01:10PM,Dabrowski I.,Staniszewski P.,19,12 / 19,63.16%,74.5,UNDER,0.75u,#######,4 / 5,8 / 10,11 / 15,12 / 20,69.00%,9,10,16 / 19,84.21%
4939219,2024-11-27 02:20PM,Kapik K.,Daniel A.,16,9 / 16,56.25%,74.5,UNDER,0.75u,#######,4 / 5,7 / 10,9 / 15,9 / 20,56.75%,9,7,12 / 16,75.00%
4939233,2024-11-27 02:45PM,Wisniewski K.,Kolodziej K.,20,14 / 20,70.00%,74.5,OVER,1u,#######,4 / 5,8 / 10,11 / 15,14 / 20,73.50%,10,10,15 / 20,75.00%
4939253,2024-11-27 03:15PM,Kowalczyk M.,Trela M.,20,4 / 20,20.00%,74.5,UNDER,0.75u,#######,1 / 5,1 / 10,3 / 15,4 / 20,18.50%,6,14,8 / 20,40.00%
4939291,2024-11-27 04:00PM,Dabrowski I.,Kowalczyk M.,11,8 / 11,72.73%,74.5,OVER,1u,#######,4 / 5,7 / 10,8 / 15,8 / 20,52.50%,7,4,10 / 11,90.91%
4939313,2024-11-27 04:25PM,Grzegorczyk J.,Trela M.,18,13 / 18,72.22%,74.5,OVER,1u,#######,3 / 5,7 / 10,10 / 15,13 / 20,65.75%,8,10,17 / 18,94.44%
4939315,2024-11-27 05:05PM,Kolodziej K.,Kapik K.,20,14 / 20,70.00%,74.5,OVER,1u,#######,4 / 5,8 / 10,12 / 15,14 / 20,75.50%,9,11,16 / 20,80.00%
4940577,2024-11-27 09:15PM,Wisniewski B.,Szczepanek B.,20,13 / 20,65.00%,74.5,UNDER,0.75u,#######,4 / 5,7 / 10,9 / 15,13 / 20,65.75%,9,11,13 / 20,65.00%
4940579,2024-11-27 09:35PM,Dabrowski I.,Staniszewski P.,19,12 / 19,63.16%,74.5,UNDER,0.75u,#######,4 / 5,8 / 10,11 / 15,12 / 20,69.00%,9,10,16 / 19,84.21%
4940581,2024-11-27 10:50PM,Dabrowski I.,Wisniewski B.,18,10 / 18,55.56%,74.5,UNDER,0.75u,#######,4 / 5,7 / 10,9 / 15,10 / 20,59.00%,6,12,14 / 18,77.78%
4939763,2024-11-27 11:10PM,Grzegorczyk J.,Trela M.,18,13 / 18,72.22%,74.5,OVER,1u,#######,3 / 5,7 / 10,10 / 15,13 / 20,65.75%,8,10,17 / 18,94.44%
