id,date,home_team,away_team,total_h2h,home_wins,away_wins,four_more,four_more_%,matches_over,percent_over,over_target,home_win_%
4940967,2024-11-27 05:25AM,Poliniewicz G.,Gluszek W.,20,5,15,15 / 20,75.00%,12 / 20,60.00%,74,25.00%
4940969,2024-11-27 05:30AM,Jadach O.,Schaniel K.,20,11,9,18 / 20,90.00%,13 / 20,65.00%,74,55.00%
4940981,2024-11-27 05:50AM,Zochniak J.,Minda M.,20,10,10,12 / 20,60.00%,10 / 20,50.00%,74,50.00%
4940983,2024-11-27 05:55AM,Pruszkowski J.,Gumulinski P.,20,8,12,15 / 20,75.00%,14 / 20,70.00%,74,40.00%
4941033,2024-11-27 06:20AM,Iwasyszyn W.,Schaniel K.,19,12,7,12 / 19,63.16%,11 / 19,57.89%,74,63.16%
4941035,2024-11-27 06:40AM,Skotniczny R.,Gumulinski P.,4,2,2,3 / 4,75.00%,3 / 4,75.00%,74,50.00%
4941065,2024-11-27 06:40AM,Minda M.,Radlo S.,19,7,12,14 / 19,73.68%,15 / 19,78.95%,74,36.84%
4940753,2024-11-27 07:25AM,Strowski K.,Daniel A.,3,1,2,3 / 3,100.00%,2 / 3,66.67%,74,33.33%
4939001,2024-11-27 07:35AM,Felkel G.,Abbasi A.,5,1,4,2 / 5,40.00%,2 / 5,40.00%,74,20.00%
4940695,2024-11-27 07:50AM,Braun J.,Michna D.,8,2,6,5 / 8,62.50%,4 / 8,50.00%,74,25.00%
4940697,2024-11-27 08:00AM,Kosowski J.,Jadczyk M.,20,10,10,7 / 20,35.00%,3 / 20,15.00%,74,50.00%
4939017,2024-11-27 08:15AM,Kolodziej K.,Strowski K.,1,0,1,1 / 1,100.00%,0 / 1,0.00%,74,0.00%
4939019,2024-11-27 08:25AM,Olejnik M.,Felkel G.,7,3,4,5 / 7,71.43%,3 / 7,42.86%,74,42.86%
4940699,2024-11-27 08:40AM,Michna D.,Murawski M.,7,6,1,4 / 7,57.14%,3 / 7,42.86%,74,85.71%
4940701,2024-11-27 08:50AM,Jadczyk M.,Wiecek A.,20,10,10,18 / 20,90.00%,11 / 20,55.00%,74,50.00%
4940703,2024-11-27 09:05AM,Braun J.,Daniel A.,5,1,4,3 / 5,60.00%,2 / 5,40.00%,74,20.00%
4940705,2024-11-27 09:15AM,Kosowski J.,Abbasi A.,18,10,8,11 / 18,61.11%,6 / 18,33.33%,74,55.56%
4940707,2024-11-27 09:25AM,Strowski K.,Murawski M.,6,1,5,3 / 6,50.00%,2 / 6,33.33%,74,16.67%
4939049,2024-11-27 09:35AM,Felkel G.,Wiecek A.,20,13,7,7 / 20,35.00%,6 / 20,30.00%,74,65.00%
4939055,2024-11-27 09:50AM,Kolodziej K.,Braun J.,2,1,1,2 / 2,100.00%,2 / 2,100.00%,74,50.00%
4940709,2024-11-27 10:00AM,Olejnik M.,Kosowski J.,20,10,10,12 / 20,60.00%,6 / 20,30.00%,74,50.00%
4940711,2024-11-27 10:15AM,Michna D.,Daniel A.,10,5,5,4 / 10,40.00%,4 / 10,40.00%,74,50.00%
4940755,2024-11-27 10:25AM,Jadczyk M.,Abbasi A.,20,13,7,10 / 20,50.00%,6 / 20,30.00%,74,65.00%
4939095,2024-11-27 10:50AM,Felkel G.,Kosowski J.,20,13,7,11 / 20,55.00%,7 / 20,35.00%,74,65.00%
4939107,2024-11-27 11:00AM,Kolodziej K.,Michna D.,8,0,8,4 / 8,50.00%,2 / 8,25.00%,74,0.00%
4940757,2024-11-27 11:10AM,Olejnik M.,Jadczyk M.,15,7,8,11 / 15,73.33%,8 / 15,53.33%,74,46.67%
4940715,2024-11-27 11:25AM,Daniel A.,Murawski M.,19,10,9,10 / 19,52.63%,9 / 19,47.37%,74,52.63%
4940717,2024-11-27 11:35AM,Abbasi A.,Wiecek A.,6,2,4,6 / 6,100.00%,5 / 6,83.33%,74,33.33%
4940719,2024-11-27 11:50AM,Strowski K.,Michna D.,1,1,0,1 / 1,100.00%,0 / 1,0.00%,74,100.00%
4939147,2024-11-27 12:00PM,Felkel G.,Jadczyk M.,20,9,11,14 / 20,70.00%,7 / 20,35.00%,74,45.00%
4940721,2024-11-27 12:15PM,Braun J.,Murawski M.,4,2,2,1 / 4,25.00%,1 / 4,25.00%,74,50.00%
4940723,2024-11-27 12:25PM,Kosowski J.,Wiecek A.,20,8,12,11 / 20,55.00%,10 / 20,50.00%,74,40.00%
4939171,2024-11-27 12:35PM,Kolodziej K.,Daniel A.,20,10,10,14 / 20,70.00%,6 / 20,30.00%,74,50.00%
4940759,2024-11-27 12:45PM,Olejnik M.,Abbasi A.,10,6,4,8 / 10,80.00%,6 / 10,60.00%,74,60.00%
4940531,2024-11-27 01:10PM,Dabrowski I.,Staniszewski P.,19,9,10,16 / 19,84.21%,12 / 19,63.16%,74,47.37%
4940123,2024-11-27 01:30PM,Wisniewski K.,Jarocki L.,20,8,12,14 / 20,70.00%,9 / 20,45.00%,74,40.00%
4939191,2024-11-27 01:35PM,Koczyba M.,Trela M.,20,8,12,11 / 20,55.00%,4 / 20,20.00%,74,40.00%
4939199,2024-11-27 01:55PM,Kolodziej K.,Seroka S.,14,8,6,3 / 14,21.43%,2 / 14,14.29%,74,57.14%
4939201,2024-11-27 02:00PM,Kowalczyk M.,Grzegorczyk J.,3,0,3,2 / 3,66.67%,1 / 3,33.33%,74,0.00%
4939219,2024-11-27 02:20PM,Kapik K.,Daniel A.,16,9,7,12 / 16,75.00%,9 / 16,56.25%,74,56.25%
4939221,2024-11-27 02:25PM,Dabrowski I.,Koczyba M.,15,10,5,12 / 15,80.00%,8 / 15,53.33%,74,66.67%
4939233,2024-11-27 02:45PM,Wisniewski K.,Kolodziej K.,20,10,10,15 / 20,75.00%,14 / 20,70.00%,74,50.00%
4939239,2024-11-27 02:50PM,Grzegorczyk J.,Staniszewski P.,1,1,0,1 / 1,100.00%,0 / 1,0.00%,74,100.00%
4940131,2024-11-27 03:10PM,Daniel A.,Jarocki L.,20,13,7,13 / 20,65.00%,9 / 20,45.00%,74,65.00%
4939253,2024-11-27 03:15PM,Kowalczyk M.,Trela M.,20,6,14,8 / 20,40.00%,4 / 20,20.00%,74,30.00%
4939261,2024-11-27 03:30PM,Kapik K.,Seroka S.,20,14,6,10 / 20,50.00%,5 / 20,25.00%,74,70.00%
4939279,2024-11-27 03:55PM,Kolodziej K.,Jarocki L.,20,9,11,16 / 20,80.00%,10 / 20,50.00%,74,45.00%
4939291,2024-11-27 04:00PM,Dabrowski I.,Kowalczyk M.,11,7,4,10 / 11,90.91%,8 / 11,72.73%,74,63.64%
4939309,2024-11-27 04:20PM,Wisniewski K.,Kapik K.,20,9,11,16 / 20,80.00%,12 / 20,60.00%,74,45.00%
4939313,2024-11-27 04:25PM,Grzegorczyk J.,Trela M.,18,8,10,17 / 18,94.44%,13 / 18,72.22%,74,44.44%
4939293,2024-11-27 04:45PM,Koczyba M.,Kowalczyk M.,19,8,11,13 / 19,68.42%,11 / 19,57.89%,74,42.11%
4939315,2024-11-27 05:05PM,Kolodziej K.,Kapik K.,20,9,11,16 / 20,80.00%,14 / 20,70.00%,74,45.00%
4939317,2024-11-27 05:10PM,Dabrowski I.,Grzegorczyk J.,4,1,3,4 / 4,100.00%,3 / 4,75.00%,74,25.00%
4940935,2024-11-27 05:30PM,Wisniewski K.,Daniel A.,20,9,11,10 / 20,50.00%,6 / 20,30.00%,74,45.00%
4940533,2024-11-27 05:35PM,Trela M.,Staniszewski P.,1,0,1,1 / 1,100.00%,1 / 1,100.00%,74,0.00%
4939329,2024-11-27 05:55PM,Koczyba M.,Grzegorczyk J.,13,8,5,11 / 13,84.62%,6 / 13,46.15%,74,61.54%
4940141,2024-11-27 05:55PM,Seroka S.,Jarocki L.,20,7,13,15 / 20,75.00%,9 / 20,45.00%,74,35.00%
4939341,2024-11-27 06:20PM,Kolodziej K.,Daniel A.,20,10,10,14 / 20,70.00%,6 / 20,30.00%,74,50.00%
4939349,2024-11-27 06:40PM,Kapik K.,Jarocki L.,20,11,9,14 / 20,70.00%,10 / 20,50.00%,74,55.00%
4940947,2024-11-27 06:45PM,Dabrowski I.,Trela M.,16,7,9,14 / 16,87.50%,8 / 16,50.00%,74,43.75%
4939665,2024-11-27 07:10PM,Grzegorczyk J.,Staniszewski P.,1,1,0,1 / 1,100.00%,0 / 1,0.00%,74,100.00%
4940573,2024-11-27 08:00PM,Wisniewski B.,Trela M.,20,8,12,16 / 20,80.00%,11 / 20,55.00%,74,40.00%
4939695,2024-11-27 08:25PM,Grzegorczyk J.,Dabrowski I.,4,1,3,4 / 4,100.00%,3 / 4,75.00%,74,25.00%
4940575,2024-11-27 08:50PM,Trela M.,Staniszewski P.,1,0,1,1 / 1,100.00%,1 / 1,100.00%,74,0.00%
4940577,2024-11-27 09:15PM,Wisniewski B.,Szczepanek B.,20,9,11,13 / 20,65.00%,13 / 20,65.00%,74,45.00%
4940579,2024-11-27 09:35PM,Dabrowski I.,Staniszewski P.,19,9,10,16 / 19,84.21%,12 / 19,63.16%,74,47.37%
4939735,2024-11-27 10:00PM,Grzegorczyk J.,Wisniewski B.,20,7,13,19 / 20,95.00%,12 / 20,60.00%,74,35.00%
4940581,2024-11-27 10:50PM,Dabrowski I.,Wisniewski B.,18,6,12,14 / 18,77.78%,10 / 18,55.56%,74,33.33%
4939763,2024-11-27 11:10PM,Grzegorczyk J.,Trela M.,18,8,10,17 / 18,94.44%,13 / 18,72.22%,74,44.44%
4940589,2024-11-28 12:25AM,Wisniewski B.,Staniszewski P.,2,1,1,1 / 2,50.00%,1 / 2,50.00%,74,50.00%
4939773,2024-11-28 12:45AM,Grzegorczyk J.,Szczepanek B.,20,9,11,11 / 20,55.00%,7 / 20,35.00%,74,45.00%
