id,date,home_team,away_team,total_h2h,four_more,four_more_%,game_2_bet,game_3_bet,divider,home_wins,away_wins
4940967,2024-11-27 05:25AM,Poliniewicz G.,Gluszek W.,20,15 / 20,75.00%,0.3u,0.7u,#######,5,15
4940969,2024-11-27 05:30AM,Jadach O.,Schaniel K.,20,18 / 20,90.00%,0.5u,1.25u,#######,11,9
4940983,2024-11-27 05:55AM,Pruszkowski J.,Gumulinski P.,20,15 / 20,75.00%,0.3u,0.7u,#######,8,12
4941065,2024-11-27 06:40AM,Minda M.,Radlo S.,19,14 / 19,73.68%,0.25u,0.5u,#######,7,12
4940701,2024-11-27 08:50AM,Jadczyk M.,Wiecek A.,20,18 / 20,90.00%,0.5u,1.25u,#######,10,10
4940757,2024-11-27 11:10AM,Olejnik M.,Jadczyk M.,15,11 / 15,73.33%,0.25u,0.5u,#######,7,8
4939147,2024-11-27 12:00PM,Felkel G.,Jadczyk M.,20,14 / 20,70.00%,0.25u,0.5u,#######,9,11
4939171,2024-11-27 12:35PM,Kolodziej K.,Daniel A.,20,14 / 20,70.00%,0.25u,0.5u,#######,10,10
4940759,2024-11-27 12:45PM,Olejnik M.,Abbasi A.,10,8 / 10,80.00%,0.4u,0.85u,#######,6,4
4940531,2024-11-27 01:10PM,Dabrowski I.,Staniszewski P.,19,16 / 19,84.21%,0.4u,0.85u,#######,9,10
4940123,2024-11-27 01:30PM,Wisniewski K.,Jarocki L.,20,14 / 20,70.00%,0.25u,0.5u,#######,8,12
4939219,2024-11-27 02:20PM,Kapik K.,Daniel A.,16,12 / 16,75.00%,0.3u,0.7u,#######,9,7
4939221,2024-11-27 02:25PM,Dabrowski I.,Koczyba M.,15,12 / 15,80.00%,0.4u,0.85u,#######,10,5
4939233,2024-11-27 02:45PM,Wisniewski K.,Kolodziej K.,20,15 / 20,75.00%,0.3u,0.7u,#######,10,10
4939279,2024-11-27 03:55PM,Kolodziej K.,Jarocki L.,20,16 / 20,80.00%,0.4u,0.85u,#######,9,11
4939291,2024-11-27 04:00PM,Dabrowski I.,Kowalczyk M.,11,10 / 11,90.91%,0.5u,1.25u,#######,7,4
4939309,2024-11-27 04:20PM,Wisniewski K.,Kapik K.,20,16 / 20,80.00%,0.4u,0.85u,#######,9,11
4939313,2024-11-27 04:25PM,Grzegorczyk J.,Trela M.,18,17 / 18,94.44%,0.5u,1.25u,#######,8,10
4939315,2024-11-27 05:05PM,Kolodziej K.,Kapik K.,20,16 / 20,80.00%,0.4u,0.85u,#######,9,11
4939329,2024-11-27 05:55PM,Koczyba M.,Grzegorczyk J.,13,11 / 13,84.62%,0.4u,0.85u,#######,8,5
4940141,2024-11-27 05:55PM,Seroka S.,Jarocki L.,20,15 / 20,75.00%,0.3u,0.7u,#######,7,13
4939341,2024-11-27 06:20PM,Kolodziej K.,Daniel A.,20,14 / 20,70.00%,0.25u,0.5u,#######,10,10
4939349,2024-11-27 06:40PM,Kapik K.,Jarocki L.,20,14 / 20,70.00%,0.25u,0.5u,#######,11,9
4940947,2024-11-27 06:45PM,Dabrowski I.,Trela M.,16,14 / 16,87.50%,0.5u,1u,#######,7,9
4940573,2024-11-27 08:00PM,Wisniewski B.,Trela M.,20,16 / 20,80.00%,0.4u,0.85u,#######,8,12
4940579,2024-11-27 09:35PM,Dabrowski I.,Staniszewski P.,19,16 / 19,84.21%,0.4u,0.85u,#######,9,10
4939735,2024-11-27 10:00PM,Grzegorczyk J.,Wisniewski B.,20,19 / 20,95.00%,0.5u,1.25u,#######,7,13
4940581,2024-11-27 10:50PM,Dabrowski I.,Wisniewski B.,18,14 / 18,77.78%,0.3u,0.7u,#######,6,12
4939763,2024-11-27 11:10PM,Grzegorczyk J.,Trela M.,18,17 / 18,94.44%,0.5u,1.25u,#######,8,10
